letter,weight_I,relative_weight_I,weight_II,relative_weight_II,weight_III,relative_weight_III,weight_IV,relative_weight_IV,weight,relative_weight,center_y,center_x,relative_center_y,relative_center_x,inertia_y,inertia_x,relative_inertia_y,relative_inertia_x
A,67,0.21337579617834396,69,0.2197452229299363,109,0.3471337579617834,116,0.36942675159235666,361,0.28696343402225755,19.62049861495845,16.79501385041551,0.5172360726377347,0.4786367833459246,26020.831024930743,33977.008310249345,0.19966721422434408,0.26071782989886005
B,132,0.5096525096525096,98,0.3783783783783784,136,0.525096525096525,114,0.44015444015444016,480,0.46332046332046334,18.20625,11.727083333333333,0.4779513888888889,0.39729938271604937,37485.247916666674,64280.58124999986,0.16269638852719912,0.2789955783420133
C,95,0.30448717948717946,70,0.22435897435897437,103,0.3301282051282051,77,0.2467948717948718,345,0.2764423076923077,19.33623188405797,13.47536231884058,0.4825324180015255,0.4024310425432445,34234.04057971017,57442.99710144934,0.28762058878143393,0.48261287209787307
Ç,103,0.30654761904761907,70,0.20833333333333334,102,0.30357142857142855,81,0.24107142857142858,356,0.2648809523809524,19.98314606741573,13.52808988764045,0.4630035626198959,0.40413193185936935,34286.71910112359,62123.898876404535,0.2705365413230936,0.4901835222541704
D,130,0.4693140794223827,93,0.33574007220216606,135,0.48736462093862815,96,0.34657039711191334,454,0.409009009009009,17.97797356828194,12.383259911894273,0.47161037689672053,0.3925262038584232,49271.312775330196,67263.77973568281,0.23904652125662343,0.3263394386446603
E,144,0.555984555984556,74,0.2857142857142857,149,0.5752895752895753,78,0.30115830115830117,445,0.4295366795366795,18.058426966292135,9.81123595505618,0.4738451935081149,0.32634207240948815,30038.143820224675,70438.4808988762,0.1516886444652174,0.3557049912833036
F,120,0.5405405405405406,66,0.2972972972972973,92,0.4144144144144144,18,0.08108108108108109,296,0.3333333333333333,13.425675675675675,7.155405405405405,0.34515765765765766,0.26762632197414804,14026.851351351346,32660.364864864892,0.16009463284504366,0.3727671300317852
G,102,0.3081570996978852,72,0.2175226586102719,106,0.3202416918429003,156,0.47129909365558914,436,0.3288084464555053,19.61697247706422,16.639908256880734,0.48992032834379523,0.47393661384487074,52566.46559633025,61879.034403669604,0.27652589005728817,0.32551465787638667
Ğ,98,0.24019607843137256,99,0.2426470588235294,126,0.3088235294117647,156,0.38235294117647056,479,0.2935049019607843,26.286012526096034,16.79749478079332,0.5380002665126816,0.478711963054343,53393.35699373695,88363.81628392477,0.2327106183887664,0.3851265304977086
H,92,0.3552123552123552,92,0.3552123552123552,96,0.37065637065637064,96,0.37065637065637064,376,0.36293436293436293,17.893617021276597,13.5,0.4692671394799055,0.46296296296296297,45654.0,33859.74468085099,0.3229260977818017,0.2395013628964675
I,36,0.972972972972973,36,0.972972972972973,38,1.027027027027027,38,1.027027027027027,148,1.0,18.0,1.5,0.4722222222222222,0.16666666666666666,185.0,16872.0,0.008445945945945946,0.7702702702702703
İ,38,0.6666666666666666,43,0.7543859649122807,46,0.8070175438596491,46,0.8070175438596491,173,0.7521739130434782,23.387283236994218,1.5722543352601157,0.49749518304431595,0.14306358381502893,240.34682080924853,30289.0520231214,0.008030566367377746,1.0120302055906112
J,1,0,95,0.5,55,0.2894736842105263,92,0.4842105263157895,242,0.31842105263157894,21.462809917355372,13.516528925619834,0.5530489166852803,0.6587646802957807,7850.433884297522,31046.1652892562,0.1340487993357271,0.53012371575125
K,121,0.4368231046931408,65,0.23465703971119134,109,0.3935018050541516,93,0.33574007220216606,388,0.34954954954954953,17.943298969072163,11.079896907216495,0.47064719358533785,0.3475826519729826,31736.523195876354,41300.75257731979,0.2108122754535309,0.274343398457061
L,72,0.33962264150943394,0,0.0,104,0.49056603773584906,48,0.22641509433962265,224,0.26321974148061106,23.598214285714285,5.401785714285714,0.6277281746031745,0.20008116883116883,9105.839285714283,30637.8392857143,0.18147798321337458,0.6106074474990892
M,138,0.42724458204334365,123,0.38080495356037153,134,0.4148606811145511,135,0.4179566563467492,530,0.4092664092664093,17.830188679245282,16.752830188679244,0.46750524109014674,0.4633185349611542,84758.62075471695,58810.7169811321,0.3017394829288606,0.20936531499157032
N,144,0.5373134328358209,78,0.291044776119403,80,0.29850746268656714,154,0.5746268656716418,456,0.4249767008387698,17.93859649122807,13.99780701754386,0.47051656920077967,0.46420739348370926,52504.99780701748,47070.280701754404,0.25250556809315117,0.22636907847488844
O,97,0.2844574780058651,105,0.30791788856304986,101,0.2961876832844575,110,0.3225806451612903,413,0.30256410256410254,19.0,17.152542372881356,0.47368421052631576,0.47507477567298106,54601.38983050855,59450.0,0.320113208323368,0.3485393008108156
Ö,105,0.25547445255474455,106,0.25790754257907544,118,0.2871046228710462,129,0.31386861313868614,458,0.278419452887538,24.54366812227074,17.061135371179038,0.5118188722232769,0.4723863344464423,55714.288209607046,84901.62663755474,0.2656046233367358,0.4047483201958141
P,126,0.4864864864864865,101,0.38996138996138996,131,0.5057915057915058,33,0.1274131274131274,391,0.37741312741312744,14.053708439897699,9.877237851662404,0.3626030122193805,0.32878658709860753,31710.10741687982,38723.87212276213,0.20741692830946826,0.2532942100245428
R,145,0.48986486486486486,108,0.36486486486486486,129,0.4358108108108108,107,0.3614864864864865,489,0.41300675675675674,16.288343558282207,12.760736196319018,0.42467620995228356,0.37937858697803284,49507.00613496932,56970.34355828226,0.20703746695174963,0.2382490185231839
S,115,0.4078014184397163,74,0.2624113475177305,77,0.2730496453900709,127,0.450354609929078,393,0.34748010610079577,19.287531806615775,13.882951653944021,0.4812508370162046,0.46010541621228646,27172.61577608144,56676.50890585235,0.17593261060985463,0.36695937756704383
Ş,122,0.40131578947368424,95,0.3125,76,0.25,111,0.3651315789473684,404,0.33169129720853857,19.856435643564357,13.871287128712872,0.45991306447717945,0.45968882602545974,27191.306930693056,61355.6732673267,0.16659706726480894,0.3759170257041387
T,84,0.32432432432432434,84,0.32432432432432434,38,0.14671814671814673,38,0.14671814671814673,244,0.23552123552123552,11.508196721311476,13.5,0.2918943533697632,0.46296296296296297,7473.0,32844.983606557376,0.12552069336199947,0.551682739965019
Ü,90,0.2647058823529412,76,0.2235294117647059,131,0.38529411764705884,131,0.38529411764705884,428,0.31401320616287604,26.731308411214954,13.598130841121495,0.5593762698090208,0.4499332443257677,46600.87850467285,77336.10046728981,0.25439382535959937,0.4221771577609934
V,81,0.26557377049180325,77,0.25245901639344265,71,0.23278688524590163,73,0.23934426229508196,302,0.24733824733824733,17.056291390728475,15.625827814569536,0.44600809418690207,0.457057119205298,23236.718543046347,33140.043046357605,0.2547774060682245,0.3633617280640937
Y,90,0.29508196721311475,87,0.28524590163934427,42,0.1377049180327869,42,0.1377049180327869,261,0.21375921375921375,14.203065134099617,15.547892720306514,0.3667518092805449,0.45462164750957856,14144.65134099619,25400.23754789271,0.20764010130497482,0.372869416888958
Z,46,0.17164179104477612,130,0.48507462686567165,125,0.4664179104477612,66,0.2462686567164179,367,0.34203168685927304,18.493188010899182,14.365122615803815,0.4859218891916439,0.4773258077072791,20975.073569482287,70387.73297002705,0.15572967034785534,0.5225945175183352
